Precision: 0.6156, Loss: 1.1911
Precision: 0.7948, Loss: 0.4611
Precision: 0.8617, Loss: 0.4137
Precision: 0.9010, Loss: 0.2777
Precision: 0.9348, Loss: 0.2430
Precision: 0.9570, Loss: 0.1931
Precision: 0.9721, Loss: 0.0303
Precision: 0.9840, Loss: 0.0271
Precision: 0.9923, Loss: 0.0301
Precision: 0.9966, Loss: 0.0086
Precision: 0.9989, Loss: 0.0010
Precision: 0.9996, Loss: 0.0284
Precision: 0.9997, Loss: 0.0004
Precision: 0.9997, Loss: 0.0003
Precision: 0.9998, Loss: 0.0002
Precision: 0.9997, Loss: 0.0001
Precision: 0.9998, Loss: 0.0001
Precision: 0.9998, Loss: 0.0003
Precision: 0.9998, Loss: 0.0002
Precision: 0.9998, Loss: 0.0002
Precision: 0.4024, Loss: 1.5307
Precision: 0.7189, Loss: 0.8116
Precision: 0.8067, Loss: 0.6595
Precision: 0.8563, Loss: 0.4922
Precision: 0.8885, Loss: 0.2926
Precision: 0.9213, Loss: 0.3297
Precision: 0.9438, Loss: 0.2021
Precision: 0.9614, Loss: 0.1404
Precision: 0.9752, Loss: 0.0405
Precision: 0.9862, Loss: 0.0765
Precision: 0.9933, Loss: 0.0764
Precision: 0.9964, Loss: 0.0055
Precision: 0.9985, Loss: 0.0011
Precision: 0.9992, Loss: 0.0032
Precision: 0.9997, Loss: 0.0019
Precision: 0.9996, Loss: 0.0013
Precision: 0.9997, Loss: 0.0011
Precision: 0.9998, Loss: 0.0005
Precision: 0.9997, Loss: 0.0002
Precision: 0.9998, Loss: 0.0006Precision: 0.3886, Loss: 1.6153
